Machine name,Description,Virtual CPUs,Memory (GB),Max number of persistent disks (PDs),Max total PD size (TB)
n1-standard-1,Standard machine type with 1 virtual CPU and 3.75 GB of memory.,1,3.75,16 (32 in Beta),64
n1-standard-2,Standard machine type with 2 virtual CPUs and 7.5 GB of memory.,2,7.5,16 (64 in Beta),64
n1-standard-4,Standard machine type with 4 virtual CPUs and 15 GB of memory.,4,15,16 (64 in Beta),64
n1-standard-8,Standard machine type with 8 virtual CPUs and 30 GB of memory.,8,30,16 (128 in Beta),64
n1-standard-16,Standard machine type with 16 virtual CPUs and 60 GB of memory.,16,60,16 (128 in Beta),64
n1-standard-32,Standard machine type with 32 virtual CPUs and 120 GB of memory.,32,120,16 (128 in Beta),64
n1-standard-64,Standard machine type with 64 virtual CPUs and 240 GB of memory.,64,240,16 (128 in Beta),64
n1-highmem-2,High memory machine type with 2 virtual CPUs and 13 GB of memory.,2,13,16 (64 in Beta),64
n1-highmem-4,"High memory machine type with 4 virtual CPUs, and 26 GB of memory.",4,26,16 (64 in Beta),64
n1-highmem-8,High memory machine type with 8 virtual CPUs and 52 GB of memory.,8,52,16 (128 in Beta),64
n1-highmem-16,High memory machine type with 16 virtual CPUs and 104 GB of memory.,16,104,16 (128 in Beta),64
n1-highmem-32,High memory machine type with 32 virtual CPUs and 208 GB of memory.,32,208,16 (128 in Beta),64
n1-highmem-64,High memory machine type with 64 virtual CPUs and 416 GB of memory.,64,416,16 (128 in Beta),64
n1-highcpu-2,High-CPU machine type with 2 virtual CPUs and 1.80 GB of memory.,2,1.8,16 (64 in Beta),64
n1-highcpu-4,High-CPU machine type with 4 virtual CPUs and 3.60 GB of memory.,4,3.6,16 (64 in Beta),64
n1-highcpu-8,High-CPU machine type with 8 virtual CPUs and 7.20 GB of memory.,8,7.2,16 (128 in Beta),64
n1-highcpu-16,High-CPU machine type with 16 virtual CPUs and 14.4 GB of memory.,16,14.4,16 (128 in Beta),64
n1-highcpu-32,High-CPU machine type with 32 virtual CPUs and 28.8 GB of memory.,32,28.8,16 (128 in Beta),64
n1-highcpu-64,High-CPU machine type with 64 virtual CPUs and 57.6 GB of memory.,64,57.6,16 (128 in Beta),64
f1-micro,"Micro machine type with 0.2 virtual CPU, 0.60 GB of memory, backed by a shared physical core.",0.2,0.6,4 (16 in Beta),3
g1-small,"Shared-core machine type with 0.5 virtual CPU, 1.70 GB of memory, backed by a shared physical core.",0.5,1.7,4 (16 in Beta),3
